ticket_id,customer_id,ticket_date,category,priority,status,description,resolution_date,created_date,updated_date
T00244,C00396,2025-11-07,Card,MEDIUM,NEW,Sample card issue 244,,2025-11-07,2025-11-07
T00245,C00115,2025-09-22,Transfers,L,NEW,Sample transfers issue 245,,2025-09-22,2025-09-22
T00246,C00132,2025-08-26,Account,LOW,IN PROGRESS,Sample account issue 246,,2025-08-26,2025-08-26
T00247,C00912,2026-01-28,Transfers,H,RESOLVED,Sample transfers issue 247,2026-02-09,2026-01-28,2026-02-09
T00248,C00450,2026-01-28,Payments,LOW,NEW,Sample payments issue 248,,2026-01-28,2026-01-28
T00249,C00009,2026-06-08,Card,H,CLOSED,Sample card issue 249,2026-06-21,2026-06-08,2026-06-21
T00250,C00056,2026-07-15,Card,H,NEW,Sample card issue 250,,2026-07-15,2026-07-15
T00251,C00550,2025-09-06,Mobile App,HIGH,CLOSED,Sample mobile app issue 251,2025-09-15,2025-09-06,2025-09-15
T00252,C00417,2026-02-01,Mobile App,HIGH,IN PROGRESS,Sample mobile app issue 252,,2026-02-01,2026-02-01
T00253,C01181,2026-05-02,Transfers,MEDIUM,RESOLVED,Sample transfers issue 253,2026-05-16,2026-05-02,2026-05-16
T00254,C01107,2026-08-07,Transfers,L,CLOSED,Sample transfers issue 254,2026-08-12,2026-08-07,2026-08-12
T00255,C00424,2026-01-23,Transfers,MEDIUM,RESOLVED,Sample transfers issue 255,2026-01-25,2026-01-23,2026-01-25
T00256,C00519,2026-08-14,Transfers,L,IN PROGRESS,Sample transfers issue 256,,2026-08-14,2026-08-14
T00257,C01152,2026-03-25,Online Banking,M,RESOLVED,Sample online banking issue 257,2026-03-29,2026-03-25,2026-03-29
T00258,C00107,2026-01-16,Mobile App,H,IN PROGRESS,Sample mobile app issue 258,,2026-01-16,2026-01-16
T00259,C00757,2026-05-14,Account,H,NEW,Sample account issue 259,,2026-05-14,2026-05-14
T00260,C00103,2025-11-03,Account,LOW,NEW,Sample account issue 260,,2025-11-03,2025-11-03
T00261,C00680,2026-08-18,Online Banking,M,OPEN,Sample online banking issue 261,,2026-08-18,2026-08-18
T00262,C00707,2026-01-30,Payments,L,OPEN,Sample payments issue 262,,2026-01-30,2026-01-30
T00263,C00100,2025-08-30,Mobile App,HIGH,OPEN,Sample mobile app issue 263,,2025-08-30,2025-08-30
T00264,C00523,2025-11-23,Account,LOW,CLOSED,Sample account issue 264,2025-11-24,2025-11-23,2025-11-24
T00265,C00126,2026-07-15,Account,M,OPEN,Sample account issue 265,,2026-07-15,2026-07-15
T00266,C00831,2026-04-17,Account,MEDIUM,OPEN,Sample account issue 266,,2026-04-17,2026-04-17
T00267,C00438,2025-12-01,Online Banking,M,IN PROGRESS,Sample online banking issue 267,,2025-12-01,2025-12-01
T00268,C01055,2026-05-13,Account,LOW,CLOSED,Sample account issue 268,2026-05-16,2026-05-13,2026-05-16
T00269,C00655,2026-04-29,Payments,M,RESOLVED,Sample payments issue 269,2026-05-08,2026-04-29,2026-05-08
T00270,C00087,2025-12-03,Card,L,OPEN,Sample card issue 270,,2025-12-03,2025-12-03
T00271,C00826,2025-09-25,Online Banking,L,OPEN,Sample online banking issue 271,,2025-09-25,2025-09-25
T00272,C00226,2026-03-09,Payments,MEDIUM,RESOLVED,Sample payments issue 272,2026-03-18,2026-03-09,2026-03-18
T00273,C00187,2025-12-31,Online Banking,L,CLOSED,Sample online banking issue 273,2026-01-08,2025-12-31,2026-01-08
T00274,C00211,2030-01-01,Payments,MEDIUM,NEW,Sample payments issue 274,,2030-01-01,2026-07-30
T00275,C00211,2025-10-12,Payments,MEDIUM,CLOSED,Sample payments issue 275,2025-10-18,2025-10-12,2025-10-18
T00276,C01057,2026-07-02,Account,MEDIUM,OPEN,Sample account issue 276,,2026-07-02,2026-07-02
T00277,C00175,2026-01-13,Online Banking,L,CLOSED,Sample online banking issue 277,2026-01-26,2026-01-13,2026-01-26
T00278,C00730,2025-10-30,Payments,L,RESOLVED,Sample payments issue 278,2025-11-11,2025-10-30,2025-11-11
T00279,C00408,2025-08-19,Transfers,HIGH,CLOSED,Sample transfers issue 279,2025-08-25,2025-08-19,2025-08-25
T00280,C00086,2026-01-19,Payments,LOW,OPEN,Sample payments issue 280,,2026-01-19,2026-01-19
T00281,C01099,2026-03-07,Account,HIGH,OPEN,Sample account issue 281,,2026-03-07,2026-03-07
T00282,C00731,2026-02-08,Account,LOW,NEW,Sample account issue 282,,2026-02-08,2026-02-08
T00283,C00713,2025-11-15,Mobile App,MEDIUM,OPEN,Sample mobile app issue 283,,2025-11-15,2025-11-15
T00284,C00757,2026-03-04,Mobile App,HIGH,RESOLVED,Sample mobile app issue 284,2026-03-08,2026-03-04,2026-03-08
T00285,C01185,2026-02-13,Card,LOW,NEW,Sample card issue 285,,2026-02-13,2026-02-13
T00286,C00327,2025-10-19,Account,MEDIUM,CLOSED,Sample account issue 286,2025-10-24,2025-10-19,2025-10-24
T00287,C00959,2026-01-26,Online Banking,LOW,NEW,Sample online banking issue 287,,2026-01-26,2026-01-26
T00288,C00089,2025-12-15,Mobile App,H,IN PROGRESS,Sample mobile app issue 288,,2025-12-15,2025-12-15
T00289,C00549,2025-09-04,Mobile App,MEDIUM,IN PROGRESS,Sample mobile app issue 289,,2025-09-04,2025-09-04
T00290,C00427,2026-01-11,Mobile App,H,CLOSED,Sample mobile app issue 290,2026-01-26,2026-01-11,2026-01-26
T00291,C01056,2026-05-07,Card,M,OPEN,Sample card issue 291,,2026-05-07,2026-05-07
T00292,C00367,2026-05-06,Payments,MEDIUM,NEW,Sample payments issue 292,,2026-05-06,2026-05-06
T00293,C00649,2026-02-03,Account,H,RESOLVED,Sample account issue 293,2026-02-10,2026-02-03,2026-02-10
T00294,C00126,2025-09-26,Transfers,HIGH,IN PROGRESS,Sample transfers issue 294,,2025-09-26,2025-09-26
T00295,C00760,2026-03-08,Mobile App,M,NEW,Sample mobile app issue 295,,2026-03-08,2026-03-08
T00296,C00010,2026-01-12,Card,L,OPEN,Sample card issue 296,,2026-01-12,2026-01-12
T00297,C01097,2025-12-22,Online Banking,L,NEW,Sample online banking issue 297,,2025-12-22,2025-12-22
T00298,C00017,2025-12-20,Transfers,LOW,NEW,Sample transfers issue 298,,2025-12-20,2025-12-20
T00299,C00342,2025-12-28,Mobile App,MEDIUM,NEW,Sample mobile app issue 299,,2025-12-28,2025-12-28
T00300,C00238,2025-12-18,Transfers,H,RESOLVED,Sample transfers issue 300,2026-01-01,2025-12-18,2026-01-01
T00301,C00654,2025-12-05,Card,HIGH,IN PROGRESS,Sample card issue 301,,2025-12-05,2025-12-05
T00302,C00003,2025-08-29,Card,L,RESOLVED,Sample card issue 302,2025-09-10,2025-08-29,2025-09-10
T00303,C00170,2026-07-18,Payments,HIGH,OPEN,Sample payments issue 303,,2026-07-18,2026-07-18
T00304,C00571,2026-07-12,Card,HIGH,OPEN,Sample card issue 304,,2026-07-12,2026-07-12
T00305,C00595,2026-05-11,Transfers,MEDIUM,IN PROGRESS,Sample transfers issue 305,,2026-05-11,2026-05-11
T00306,C00991,2026-04-30,Account,LOW,OPEN,Sample account issue 306,,2026-04-30,2026-04-30
T00307,C00875,2025-09-13,Online Banking,H,RESOLVED,Sample online banking issue 307,2025-09-28,2025-09-13,2025-09-28
T00308,C00771,2025-09-05,Online Banking,M,CLOSED,Sample online banking issue 308,2025-09-20,2025-09-05,2025-09-20
T00309,C00817,2025-08-20,Account,MEDIUM,CLOSED,Sample account issue 309,2025-09-02,2025-08-20,2025-09-02
T00310,C00774,2025-12-28,Online Banking,L,RESOLVED,Sample online banking issue 310,2026-01-06,2025-12-28,2026-01-06
T00311,C00545,2026-04-20,Account,H,NEW,Sample account issue 311,,2026-04-20,2026-04-20
T00312,C00331,2026-08-10,Card,M,CLOSED,Sample card issue 312,2026-08-21,2026-08-10,2026-08-21
T00313,C00940,2026-06-09,Card,L,RESOLVED,Sample card issue 313,2026-06-20,2026-06-09,2026-06-20
T00314,C00181,2026-05-08,Card,L,NEW,Sample card issue 314,,2026-05-08,2026-05-08
T00315,C00028,2026-07-11,Card,MEDIUM,IN PROGRESS,Sample card issue 315,,2026-07-11,2026-07-11
T00316,C00583,2026-08-08,Transfers,MEDIUM,IN PROGRESS,Sample transfers issue 316,,2026-08-08,2026-08-08
T00317,C00103,2025-09-09,Payments,H,NEW,Sample payments issue 317,,2025-09-09,2025-09-09
T00318,C00674,2026-02-28,Online Banking,H,RESOLVED,Sample online banking issue 318,2026-03-03,2026-02-28,2026-03-03
T00319,C00142,2025-08-24,Online Banking,MEDIUM,OPEN,Sample online banking issue 319,,2025-08-24,2025-08-24
T00320,C00019,2025-08-21,Payments,H,NEW,Sample payments issue 320,,2025-08-21,2025-08-21
T00321,C00822,2025-12-03,Card,M,OPEN,Sample card issue 321,,2025-12-03,2025-12-03
T00322,C00536,2025-11-05,Transfers,MEDIUM,CLOSED,Sample transfers issue 322,2025-11-11,2025-11-05,2025-11-11
T00323,C00417,2026-02-27,Mobile App,HIGH,CLOSED,Sample mobile app issue 323,2026-03-13,2026-02-27,2026-03-13
T00324,C01025,2026-03-08,Mobile App,LOW,IN PROGRESS,Sample mobile app issue 324,,2026-03-08,2026-03-08
T00325,C00183,2026-05-05,Payments,L,IN PROGRESS,Sample payments issue 325,,2026-05-05,2026-05-05
T00326,C01169,2026-05-15,Account,MEDIUM,OPEN,Sample account issue 326,,2026-05-15,2026-05-15
T00327,C00788,2025-12-20,Account,HIGH,CLOSED,Sample account issue 327,2025-12-22,2025-12-20,2025-12-22
T00328,C00794,2025-08-20,Transfers,M,CLOSED,Sample transfers issue 328,2025-09-02,2025-08-20,2025-09-02
T00329,C00047,2025-09-05,Card,HIGH,NEW,Sample card issue 329,,2025-09-05,2025-09-05
T00330,C00835,2026-07-03,Transfers,MEDIUM,RESOLVED,Sample transfers issue 330,2026-07-07,2026-07-03,2026-07-07
T00331,C00291,2026-02-13,Mobile App,M,NEW,Sample mobile app issue 331,,2026-02-13,2026-02-13
T00332,C00341,2026-01-29,Account,LOW,CLOSED,Sample account issue 332,2026-02-08,2026-01-29,2026-02-08
T00333,C00006,2025-12-06,Account,H,NEW,Sample account issue 333,,2025-12-06,2025-12-06
T00334,C01119,2026-08-01,Online Banking,MEDIUM,NEW,Sample online banking issue 334,,2026-08-01,2026-08-01
T00335,C00623,2025-09-12,Online Banking,LOW,OPEN,Sample online banking issue 335,,2025-09-12,2025-09-12
T00336,C00177,2026-02-06,Account,L,OPEN,Sample account issue 336,,2026-02-06,2026-02-06
T00337,C00427,2026-08-06,Account,HIGH,CLOSED,Sample account issue 337,2026-08-16,2026-08-06,2026-08-16
T00338,C00416,2025-12-08,Payments,LOW,OPEN,Sample payments issue 338,,2025-12-08,2025-12-08
T00339,C00656,2026-07-20,Card,MEDIUM,NEW,Sample card issue 339,,2026-07-20,2026-07-20
T00340,C00412,2025-09-17,Payments,H,NEW,Sample payments issue 340,,2025-09-17,2025-09-17
T00341,C00078,2026-07-04,Online Banking,L,OPEN,Sample online banking issue 341,,2026-07-04,2026-07-04
T00342,C01133,2026-07-23,Online Banking,MEDIUM,CLOSED,Sample online banking issue 342,2026-07-30,2026-07-23,2026-07-30
T00343,C00008,2025-11-25,Transfers,M,OPEN,Sample transfers issue 343,,2025-11-25,2025-11-25
T00344,C01079,2025-11-19,Card,LOW,OPEN,Sample card issue 344,,2025-11-19,2025-11-19
T00345,C00571,2026-04-22,Transfers,H,IN PROGRESS,Sample transfers issue 345,,2026-04-22,2026-04-22
T00346,C00104,2026-02-28,Mobile App,L,CLOSED,Sample mobile app issue 346,2026-03-05,2026-02-28,2026-03-05
T00347,C00452,2026-04-23,Account,LOW,OPEN,Sample account issue 347,,2026-04-23,2026-04-23
T00348,C00497,2026-01-03,Online Banking,MEDIUM,RESOLVED,Sample online banking issue 348,2026-01-16,2026-01-03,2026-01-16
T00349,C00051,2026-01-29,Mobile App,L,NEW,Sample mobile app issue 349,,2026-01-29,2026-01-29
T00350,C00879,2026-07-07,Card,L,NEW,Sample card issue 350,,2026-07-07,2026-07-07
T00351,C00621,2026-07-15,Mobile App,MEDIUM,IN PROGRESS,Sample mobile app issue 351,,2026-07-15,2026-07-15
T00352,C00008,2025-08-26,Payments,M,IN PROGRESS,Sample payments issue 352,,2025-08-26,2025-08-26
T00353,C00075,2026-04-28,Online Banking,M,OPEN,Sample online banking issue 353,,2026-04-28,2026-04-28
T00354,C00501,2025-09-04,Transfers,H,CLOSED,Sample transfers issue 354,2025-09-10,2025-09-04,2025-09-10
T00355,C00918,2025-10-09,Card,L,RESOLVED,Sample card issue 355,2025-10-24,2025-10-09,2025-10-24
T00356,C00194,2025-12-04,Card,L,IN PROGRESS,Sample card issue 356,,2025-12-04,2025-12-04
T00357,C00632,2025-10-23,Transfers,HIGH,OPEN,Sample transfers issue 357,,2025-10-23,2025-10-23
T00358,C00836,2025-09-11,Payments,LOW,RESOLVED,Sample payments issue 358,2025-09-18,2025-09-11,2025-09-18
T00359,C00213,2026-02-17,Transfers,MEDIUM,OPEN,Sample transfers issue 359,,2026-02-17,2026-02-17
T00360,C00202,2025-12-13,Transfers,L,RESOLVED,Sample transfers issue 360,2025-12-28,2025-12-13,2025-12-28
T00361,C01088,2025-12-08,Card,L,RESOLVED,Sample card issue 361,2025-12-20,2025-12-08,2025-12-20
T00362,C01116,2026-04-30,Payments,L,RESOLVED,Sample payments issue 362,2026-05-07,2026-04-30,2026-05-07
T00363,C00180,2025-09-12,Online Banking,LOW,IN PROGRESS,Sample online banking issue 363,,2025-09-12,2025-09-12
T00364,C00823,2025-09-17,Payments,HIGH,RESOLVED,Sample payments issue 364,2025-09-22,2025-09-17,2025-09-22
T00365,C00871,2025-10-19,Card,MEDIUM,NEW,Sample card issue 365,,2025-10-19,2025-10-19
T00366,C00399,2026-01-08,Mobile App,MEDIUM,RESOLVED,Sample mobile app issue 366,2026-01-08,2026-01-08,2026-01-08
T00367,C00666,2025-09-23,Payments,HIGH,RESOLVED,Sample payments issue 367,2025-09-25,2025-09-23,2025-09-25
T00368,C00597,2026-05-15,Payments,L,CLOSED,Sample payments issue 368,2026-05-15,2026-05-15,2026-05-15
T00369,C01159,2025-10-24,Account,L,NEW,Sample account issue 369,,2025-10-24,2025-10-24
T00370,C00700,2026-06-25,Account,L,NEW,Sample account issue 370,,2026-06-25,2026-06-25
T00371,C00889,2025-12-17,Card,M,RESOLVED,Sample card issue 371,2025-12-31,2025-12-17,2025-12-31
T00372,C00052,2025-10-14,Account,L,RESOLVED,Sample account issue 372,2025-10-26,2025-10-14,2025-10-26
T00373,C01090,2026-05-14,Transfers,H,CLOSED,Sample transfers issue 373,2026-05-25,2026-05-14,2026-05-25
T00374,C00596,2026-03-09,Online Banking,H,OPEN,Sample online banking issue 374,,2026-03-09,2026-03-09
T00375,C00676,2026-01-05,Payments,MEDIUM,OPEN,Sample payments issue 375,,2026-01-05,2026-01-05
T00376,C00144,2025-11-09,Mobile App,HIGH,CLOSED,Sample mobile app issue 376,2025-11-15,2025-11-09,2025-11-15
T00377,C00719,2025-10-20,Payments,H,IN PROGRESS,Sample payments issue 377,,2025-10-20,2025-10-20
T00378,C00234,2025-11-18,Online Banking,M,CLOSED,Sample online banking issue 378,2025-12-02,2025-11-18,2025-12-02
T00379,C00740,2025-11-22,Online Banking,H,RESOLVED,Sample online banking issue 379,2025-11-23,2025-11-22,2025-11-23
T00380,C00553,2026-08-16,Account,L,CLOSED,Sample account issue 380,2026-08-21,2026-08-16,2026-08-21
T00381,C00916,2025-08-23,Mobile App,L,NEW,Sample mobile app issue 381,,2025-08-23,2025-08-23
,C00949,2025-12-10,Transfers,H,IN PROGRESS,Sample transfers issue 382,,2025-12-10,2025-12-10
T00383,C00035,2025-10-02,Transfers,HIGH,NEW,Sample transfers issue 383,,2025-10-02,2025-10-02
T00384,C00253,2025-10-21,Online Banking,H,NEW,Sample online banking issue 384,,2025-10-21,2025-10-21
T00385,C00028,2026-06-03,Transfers,H,IN PROGRESS,Sample transfers issue 385,,2026-06-03,2026-06-03
T00386,C00074,2025-09-23,Transfers,MEDIUM,CLOSED,Sample transfers issue 386,2025-10-05,2025-09-23,2025-10-05
T00387,C00048,2026-03-31,Mobile App,MEDIUM,NEW,Sample mobile app issue 387,,2026-03-31,2026-03-31
T00388,C00372,2025-09-14,Card,HIGH,CLOSED,Sample card issue 388,2025-09-25,2025-09-14,2025-09-25
T00389,C00432,2026-04-24,Payments,H,NEW,Sample payments issue 389,,2026-04-24,2026-04-24
T00390,C00345,2025-09-28,Payments,H,CLOSED,Sample payments issue 390,2025-09-28,2025-09-28,2025-09-28
T00391,C00279,2026-08-12,Online Banking,M,RESOLVED,Sample online banking issue 391,2026-08-18,2026-08-12,2026-08-18
T00392,C00532,2026-05-22,Card,LOW,RESOLVED,Sample card issue 392,2026-06-04,2026-05-22,2026-06-04
T00393,C00962,2025-10-29,Card,LOW,RESOLVED,Sample card issue 393,2025-11-09,2025-10-29,2025-11-09
T00394,C00669,2025-09-27,Online Banking,MEDIUM,IN PROGRESS,Sample online banking issue 394,,2025-09-27,2025-09-27
T00395,C00568,2025-08-30,Transfers,M,OPEN,Sample transfers issue 395,,2025-08-30,2025-08-30
T00396,C01016,2026-01-30,Payments,M,CLOSED,Sample payments issue 396,2026-02-10,2026-01-30,2026-02-10
T00397,C00742,2026-07-24,Card,LOW,RESOLVED,Sample card issue 397,2026-08-08,2026-07-24,2026-08-08
T00398,C00449,2026-03-16,Account,M,IN PROGRESS,Sample account issue 398,,2026-03-16,2026-03-16
T00399,C00780,2026-03-02,Account,LOW,OPEN,Sample account issue 399,,2026-03-02,2026-03-02
T00400,C01053,2026-01-11,Account,HIGH,CLOSED,Sample account issue 400,2026-01-24,2026-01-11,2026-01-24
T00401,C00407,2025-09-11,Mobile App,M,IN PROGRESS,Sample mobile app issue 401,,2025-09-11,2025-09-11
T00402,C00724,2025-11-04,Transfers,LOW,NEW,Sample transfers issue 402,,2025-11-04,2025-11-04
T00403,C01013,2025-11-11,Payments,HIGH,RESOLVED,Sample payments issue 403,2025-11-16,2025-11-11,2025-11-16
T00404,C00642,2026-01-08,Mobile App,HIGH,RESOLVED,Sample mobile app issue 404,2026-01-17,2026-01-08,2026-01-17
T00405,C00944,2026-06-01,Transfers,MEDIUM,OPEN,Sample transfers issue 405,,2026-06-01,2026-06-01
T00406,C01041,2026-02-13,Online Banking,L,CLOSED,Sample online banking issue 406,2026-02-28,2026-02-13,2026-02-28
T00407,C00837,2026-03-23,Card,L,NEW,Sample card issue 407,,2026-03-23,2026-03-23
T00408,C00516,2025-11-04,Transfers,M,NEW,Sample transfers issue 408,,2025-11-04,2025-11-04
T00409,C00065,2026-04-16,Mobile App,M,RESOLVED,Sample mobile app issue 409,2026-04-26,2026-04-16,2026-04-26
T00410,C00123,2026-08-06,Account,M,IN PROGRESS,Sample account issue 410,,2026-08-06,2026-08-06
T00411,C00552,2030-01-01,Mobile App,MEDIUM,CLOSED,Sample mobile app issue 411,2026-08-07,2030-01-01,2026-08-07
T00412,C00017,2025-12-24,Transfers,H,NEW,Sample transfers issue 412,,2025-12-24,2025-12-24
T00413,C00353,2025-12-27,Account,L,NEW,Sample account issue 413,,2025-12-27,2025-12-27
T00414,C00958,2026-05-10,Transfers,MEDIUM,CLOSED,Sample transfers issue 414,2026-05-11,2026-05-10,2026-05-11
T00415,C00645,2026-04-24,Mobile App,M,RESOLVED,Sample mobile app issue 415,2026-04-28,2026-04-24,2026-04-28
T00416,C00010,2025-09-27,Transfers,HIGH,IN PROGRESS,Sample transfers issue 416,,2025-09-27,2025-09-27
T00417,C00864,2025-11-04,Online Banking,HIGH,OPEN,Sample online banking issue 417,,2025-11-04,2025-11-04
T00418,C00726,2026-02-28,Online Banking,H,CLOSED,Sample online banking issue 418,2026-03-11,2026-02-28,2026-03-11
T00419,C00010,2025-09-06,Transfers,M,NEW,Sample transfers issue 419,,2025-09-06,2025-09-06
T00420,C00379,2026-02-24,Transfers,L,OPEN,Sample transfers issue 420,,2026-02-24,2026-02-24
T00421,C00704,2026-07-01,Card,HIGH,IN PROGRESS,Sample card issue 421,,2026-07-01,2026-07-01
T00422,C00543,2026-07-16,Payments,LOW,NEW,Sample payments issue 422,,2026-07-16,2026-07-16
T00423,C01007,2025-09-01,Card,L,NEW,Sample card issue 423,,2025-09-01,2025-09-01
T00424,C00206,2026-03-02,Online Banking,H,NEW,Sample online banking issue 424,,2026-03-02,2026-03-02
T00425,C00723,2026-06-07,Transfers,L,NEW,Sample transfers issue 425,,2026-06-07,2026-06-07
T00426,C00822,2026-08-04,Card,M,IN PROGRESS,Sample card issue 426,,2026-08-04,2026-08-04
T00427,C01130,2026-05-16,Card,MEDIUM,RESOLVED,Sample card issue 427,2026-05-24,2026-05-16,2026-05-24
T00428,C00705,2025-09-07,Transfers,H,RESOLVED,Sample transfers issue 428,2025-09-12,2025-09-07,2025-09-12
T00429,C00745,2025-08-29,Mobile App,MEDIUM,OPEN,Sample mobile app issue 429,,2025-08-29,2025-08-29
T00430,C00717,2026-04-26,Mobile App,M,CLOSED,Sample mobile app issue 430,2026-05-02,2026-04-26,2026-05-02
T00431,C00532,2026-03-22,Online Banking,LOW,IN PROGRESS,Sample online banking issue 431,,2026-03-22,2026-03-22
T00432,C00166,2026-01-10,Mobile App,L,OPEN,Sample mobile app issue 432,,2026-01-10,2026-01-10
T00433,C00161,2026-04-22,Online Banking,MEDIUM,IN PROGRESS,Sample online banking issue 433,,2026-04-22,2026-04-22
T00434,C00733,2025-09-12,Account,M,IN PROGRESS,Sample account issue 434,,2025-09-12,2025-09-12
T00435,C00930,2025-09-02,Transfers,LOW,NEW,Sample transfers issue 435,,2025-09-02,2025-09-02
T00436,C00382,2026-08-02,Payments,L,RESOLVED,Sample payments issue 436,2026-08-06,2026-08-02,2026-08-06
T00437,C00507,2026-06-24,Card,MEDIUM,RESOLVED,Sample card issue 437,2026-07-08,2026-06-24,2026-07-08
T00438,C00178,2026-04-12,Card,LOW,RESOLVED,Sample card issue 438,2026-04-15,2026-04-12,2026-04-15
T00439,C00342,2026-03-09,Payments,MEDIUM,RESOLVED,Sample payments issue 439,2026-03-20,2026-03-09,2026-03-20
T00440,C00869,2026-04-09,Card,H,OPEN,Sample card issue 440,,2026-04-09,2026-04-09
T00441,C00243,2025-11-28,Mobile App,L,IN PROGRESS,Sample mobile app issue 441,,2025-11-28,2025-11-28
T00442,C00029,2025-09-17,Card,L,RESOLVED,Sample card issue 442,2025-09-29,2025-09-17,2025-09-29
T00443,C01170,2025-10-04,Payments,HIGH,OPEN,Sample payments issue 443,,2025-10-04,2025-10-04
T00444,C00042,2026-07-07,Card,HIGH,CLOSED,Sample card issue 444,2026-07-20,2026-07-07,2026-07-20
T00445,C00893,2025-10-06,Online Banking,LOW,CLOSED,Sample online banking issue 445,2025-10-16,2025-10-06,2025-10-16
T00446,C00688,2025-12-09,Account,H,OPEN,Sample account issue 446,,2025-12-09,2025-12-09
T00447,C01106,2025-08-19,Transfers,HIGH,IN PROGRESS,Sample transfers issue 447,,2025-08-19,2025-08-19
T00448,C00205,2026-06-15,Card,HIGH,RESOLVED,Sample card issue 448,2026-06-29,2026-06-15,2026-06-29
T00449,C01088,2026-04-30,Card,L,IN PROGRESS,Sample card issue 449,,2026-04-30,2026-04-30
T00450,C01029,2025-11-20,Account,M,OPEN,Sample account issue 450,,2025-11-20,2025-11-20
T00451,C00312,2026-07-03,Transfers,H,IN PROGRESS,Sample transfers issue 451,,2026-07-03,2026-07-03
T00452,C00497,2026-06-05,Mobile App,MEDIUM,IN PROGRESS,Sample mobile app issue 452,,2026-06-05,2026-06-05
T00453,C00297,2026-03-19,Online Banking,L,IN PROGRESS,Sample online banking issue 453,,2026-03-19,2026-03-19
T00454,C00505,2026-05-21,Online Banking,M,NEW,Sample online banking issue 454,,2026-05-21,2026-05-21
T00455,C00905,2026-06-12,Account,MEDIUM,RESOLVED,Sample account issue 455,2026-06-23,2026-06-12,2026-06-23
T00456,C00131,2025-12-23,Mobile App,H,NEW,Sample mobile app issue 456,,2025-12-23,2025-12-23
T00457,C00050,2026-03-02,Mobile App,LOW,IN PROGRESS,Sample mobile app issue 457,,2026-03-02,2026-03-02
T00458,C00175,2026-03-25,Card,L,IN PROGRESS,Sample card issue 458,,2026-03-25,2026-03-25
T00459,C00613,2025-08-21,Transfers,HIGH,NEW,Sample transfers issue 459,,2025-08-21,2025-08-21
T00460,C00174,2026-01-07,Card,H,CLOSED,Sample card issue 460,2026-01-18,2026-01-07,2026-01-18
T00461,C01199,2025-09-01,Transfers,MEDIUM,NEW,Sample transfers issue 461,,2025-09-01,2025-09-01
T00462,C00220,2025-12-14,Transfers,M,OPEN,Sample transfers issue 462,,2025-12-14,2025-12-14
T00463,C01198,2026-08-10,Transfers,H,RESOLVED,Sample transfers issue 463,2026-08-14,2026-08-10,2026-08-14
T00464,C00696,2025-09-08,Payments,H,RESOLVED,Sample payments issue 464,2025-09-12,2025-09-08,2025-09-12
T00465,C01043,2025-12-30,Card,H,NEW,Sample card issue 465,,2025-12-30,2025-12-30
T00466,C00171,2026-01-12,Transfers,LOW,NEW,Sample transfers issue 466,,2026-01-12,2026-01-12
T00467,C00319,2026-07-22,Card,HIGH,CLOSED,Sample card issue 467,2026-08-06,2026-07-22,2026-08-06
T00468,C01162,2026-06-29,Payments,H,CLOSED,Sample payments issue 468,2026-07-06,2026-06-29,2026-07-06
T00469,C00944,2026-03-07,Transfers,MEDIUM,RESOLVED,Sample transfers issue 469,2026-03-13,2026-03-07,2026-03-13
T00470,C00736,2025-12-14,Online Banking,HIGH,OPEN,Sample online banking issue 470,,2025-12-14,2025-12-14
T00471,C00003,2025-11-02,Payments,MEDIUM,CLOSED,Sample payments issue 471,2025-11-16,2025-11-02,2025-11-16
T00472,C00166,2025-09-23,Account,M,IN PROGRESS,Sample account issue 472,,2025-09-23,2025-09-23
T00473,C00562,2026-05-10,Account,M,OPEN,Sample account issue 473,,2026-05-10,2026-05-10
T00474,C00013,2026-07-23,Card,HIGH,OPEN,Sample card issue 474,,2026-07-23,2026-07-23
T00475,C01013,2025-09-22,Mobile App,L,RESOLVED,Sample mobile app issue 475,2025-09-29,2025-09-22,2025-09-29
T00476,C00635,2025-10-09,Card,LOW,OPEN,Sample card issue 476,,2025-10-09,2025-10-09
T00477,C00648,2026-02-22,Card,L,OPEN,Sample card issue 477,,2026-02-22,2026-02-22
T00478,C00487,2026-01-26,Online Banking,LOW,RESOLVED,Sample online banking issue 478,2026-02-07,2026-01-26,2026-02-07
T00479,C00422,2026-07-25,Online Banking,M,IN PROGRESS,Sample online banking issue 479,,2026-07-25,2026-07-25
T00480,C00141,2026-01-22,Account,L,RESOLVED,Sample account issue 480,2026-02-02,2026-01-22,2026-02-02
T00481,C00869,2025-08-19,Card,L,NEW,Sample card issue 481,,2025-08-19,2025-08-19
T00482,C00155,2025-12-03,Online Banking,HIGH,OPEN,Sample online banking issue 482,,2025-12-03,2025-12-03
T00483,C00354,2025-11-10,Payments,H,NEW,Sample payments issue 483,,2025-11-10,2025-11-10
T00484,C00500,2026-07-25,Online Banking,HIGH,IN PROGRESS,Sample online banking issue 484,,2026-07-25,2026-07-25
T00485,C01118,2026-03-28,Online Banking,M,RESOLVED,Sample online banking issue 485,2026-03-29,2026-03-28,2026-03-29
T00486,C00202,2026-05-29,Online Banking,HIGH,NEW,Sample online banking issue 486,,2026-05-29,2026-05-29
T00487,C00484,2025-11-17,Account,HIGH,CLOSED,Sample account issue 487,2025-11-22,2025-11-17,2025-11-22
T00488,C00158,2026-08-02,Transfers,LOW,CLOSED,Sample transfers issue 488,2026-08-08,2026-08-02,2026-08-08
